"Title","URL","Description","h1 headings","h1 count","h2 headings","h3 headings","h4 headings","Title length","Description length","Response time","Content","Link count","Word count","Possible duplicates","Internal backlinks","Last modified","Robots","Canonical","Image count","Image weight","Depth","Internal links","External links","Redirects to here"
"ГОСУДАРСТВО И ЧЕЛОВЕК - последние новости и статьи | Медиапроект s-t-o-l.com","https://s-t-o-l.com/gosudarstvo-i-chelovek/","","Государство и человек","1","","","","76","0","1.1830 s","56kb","51","250","55","5688","","","https://s-t-o-l.com/gosudarstvo-i-chelovek/","15","829 kb","1","56","10","0"
"СЛОВАРЬ - последние новости и статьи | Медиапроект s-t-o-l.com","https://s-t-o-l.com/slovar/","","Словарь","1","","","","62","0","2.8417 s","55kb","47","212","","2935","","","https://s-t-o-l.com/slovar/","17","1078 kb","1","54","10","0"
"СТАТЬЯ - последние новости и статьи | Медиапроект s-t-o-l.com","https://s-t-o-l.com/statya/","","статья","1","","","","61","0","3.0330 s","55kb","51","253","","2874","","","https://s-t-o-l.com/statya/","15","776 kb","1","56","10","0"
"КУЛЬТУРА - последние новости и статьи | Медиапроект s-t-o-l.com","https://s-t-o-l.com/kultura/","","Культура","1","","","","63","0","3.0342 s","55kb","48","246","","5652","","","https://s-t-o-l.com/kultura/","18","1080 kb","1","56","10","0"
"ИСТОРИЯ - последние новости и статьи | Медиапроект s-t-o-l.com","https://s-t-o-l.com/istoriya/","","История","1","","","","62","0","3.0446 s","56kb","53","269","44","5647","","","https://s-t-o-l.com/istoriya/","15","889 kb","1","58","10","0"
"ОБРАЗОВАНИЕ - последние новости и статьи | Медиапроект s-t-o-l.com","https://s-t-o-l.com/obrazovanie/","","Образование","1","","","","66","0","3.2331 s","55kb","45","266","","5637","","","https://s-t-o-l.com/obrazovanie/","18","1172 kb","1","53","10","0"
"СТОЛ НЕДЕЛИ - последние новости и статьи | Медиапроект s-t-o-l.com","https://s-t-o-l.com/stol-nedeli/","","Стол недели","1","","","","66","0","3.2833 s","54kb","46","211","","2947","","","https://s-t-o-l.com/stol-nedeli/","17","846 kb","1","53","10","0"
"ЦЕРКОВЬ И ОБЩЕСТВО - последние новости и статьи | Медиапроект s-t-o-l.com","https://s-t-o-l.com/tserkov-i-obshhestvo/","","Церковь и общество","1","","","","73","0","3.3426 s","55kb","46","246","44","5644","","","https://s-t-o-l.com/tserkov-i-obshhestvo/","18","975 kb","1","54","10","0"
"ВЫБОР РЕДАКЦИИ - последние новости и статьи | Медиапроект s-t-o-l.com","https://s-t-o-l.com/vybor-redaktsii/","","выбор редакции","1","","","","69","0","0.6026 s","46kb","44","127","","3","","","https://s-t-o-l.com/vybor-redaktsii/","2","4 kb","1","36","10","0"
"Архив События - Медиапроект s-t-o-l.com Архив | Медиапроект s-t-o-l.com","https://s-t-o-l.com/events/","","События","1","","","","71","0","4.0571 s","54kb","52","201","","2818","","","https://s-t-o-l.com/event/","9","307 kb","1","51","10","1"
